Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",134.67,-1.78,-1.30%,136.99,137.16,134.31,1358700,2025-02-14
AA,"Alcoa Corp",36.24,-0.14,-0.38%,37.16,37.47,36.18,3113600,2025-02-14
AAL,"American Airlines Gp",15.97,0.23,+1.46%,15.84,15.98,15.64,29250900,2025-02-14
AAON,"Aaon Inc",113.16,0.3,+0.27%,112.86,114.71,112.24,269100,2025-02-14
AAP,"Advance Auto Parts Inc",47.87,-0.72,-1.48%,49,49.015,47.49,1176400,2025-02-14
AAPL,"Apple Inc",244.6,3.07,+1.27%,241.25,245.55,240.99,40896199,2025-02-14
ABBV,"Abbvie Inc",192.87,-0.58,-0.30%,193.95,195.18,192.78,3976900,2025-02-14
ABNB,"Airbnb Inc Cl A",161.42,20.38,+14.45%,158.18,163.93,156.93,21649301,2025-02-14
ABT,"Abbott Laboratories",130.61,-1.18,-0.90%,132.32,132.65,130.52,3733900,2025-02-14
ACGL,"Arch Capital Grp Ltd",88.2,-1.96,-2.17%,90.16,90.21,88.02,1823900,2025-02-14
ACHC,"Acadia Healthcr Company",41.06,-0.69,-1.65%,41.86,42,40.88,779400,2025-02-14
ACI,"Albertsons Companies Inc Cl A",20.83,-0.51,-2.39%,21.36,21.395,20.69,3613500,2025-02-14
ACM,"Aecom Technology Corp",100.41,-1.78,-1.74%,102.33,102.6299,99.69,1247100,2025-02-14
ACN,"Accenture Plc",388,-1.53,-0.39%,390,391,387.43,2024700,2025-02-14
ADBE,"Adobe Systems Inc",460.16,0.94,+0.20%,463.35,464.99,458,2622900,2025-02-14
ADC,"Agree Realty Corp",71,-0.83,-1.16%,71.72,72.44,70.93,738400,2025-02-14
ADI,"Analog Devices",214.61,5.27,+2.52%,211.24,215.15,210.63,3938600,2025-02-14
ADM,"Archer Daniels Midland",46.1,0.39,+0.85%,45.76,46.26,45.76,3382000,2025-02-14
ADP,"Automatic Data Procs",308.15,-2.07,-0.67%,310,311.59,308.13,1101000,2025-02-14
ADSK,"Autodesk Inc",302.72,-0.76,-0.25%,303.48,304.97,301.3,924100,2025-02-14
ADT,"ADT Inc",7.57,0.07,+0.93%,7.53,7.665,7.53,6332900,2025-02-14
AEE,"Ameren Corp",98.07,-0.2,-0.20%,98.84,100.615,97.4,3561300,2025-02-14
AEP,"American Electric Power Company",101.83,0.84,+0.83%,101.21,102.92,100.84,2770900,2025-02-14
AES,"The Aes Corp",9.93,-0.21,-2.07%,10.16,10.26,9.91,18458100,2025-02-14
AFG,"American Financial Group",123.28,-1.04,-0.84%,124.87,125.26,122.84,546400,2025-02-14
AFL,"Aflac Inc",103.34,-0.74,-0.71%,104.31,104.88,103.31,1450300,2025-02-14
AFRM,"Affirm Holdings Inc Cl A",80.69,1.41,+1.78%,79.79,80.72,78.06,6263200,2025-02-14
AGCO,"Agco Corp",98.05,4.2,+4.48%,94.78,98.3,93.75,1022100,2025-02-14
AGNC,"Agnc Investment Corp",10.43,0.11,+1.07%,10.35,10.45,10.35,19586100,2025-02-14
AGO,"Assured Guaranty Ltd",90.59,-1.62,-1.76%,91.88,92.38,90.55,320300,2025-02-14
AIG,"American International Group",74.34,-2.06,-2.70%,76.1,76.3125,73.95,5336300,2025-02-14
AIZ,"Assurant Inc",202.96,-5.06,-2.43%,207.16,207.92,202.47,400400,2025-02-14
AJG,"Arthur J. Gallagher & Company",321.5,-7.06,-2.15%,328.85,329.6,319.5,2079600,2025-02-14
AKAM,"Akamai Technologies",100.01,0.35,+0.35%,100.06,101.62,99.7,1466500,2025-02-14
AL,"Air Lease Corp Cl A",49.45,3.1,+6.69%,48,49.88,46.5,1095300,2025-02-14
ALAB,"Astera Labs Inc",87.85,-0.34,-0.39%,88.29,88.29,83.69,6191000,2025-02-14
ALB,"Albemarle Corp",81.21,1.96,+2.47%,80.16,82.3862,79.59,2744600,2025-02-14
ALGM,"Allegro Microsystems Inc",25.74,1.17,+4.76%,24.6,26.25,24.46,3597800,2025-02-14
ALGN,"Align Technology",206.77,1.88,+0.92%,206,208.65,202,880500,2025-02-14
ALK,"Alaska Air Group",75.74,3.2,+4.41%,72.89,75.76,72.21,2296800,2025-02-14
ALL,"Allstate Corp",187.63,-5.14,-2.67%,192.11,192.69,185.8,3917900,2025-02-14
ALLE,"Allegion Plc",133.39,0.23999999999998,+0.18%,133.55,134.25,132.76,1354500,2025-02-14
ALLY,"Ally Financial",38.38,1.08,+2.90%,37.44,38.52,37.275,2504000,2025-02-14
ALNY,"Alnylam Pharmaceuticals",256.45,-8.44,-3.19%,264.02,264.87,251.87,805900,2025-02-14
ALSN,"Allison Transmission Holdings",104.55,2.95,+2.90%,101.62,105.44,101.19,968100,2025-02-14
AM,"Antero Midstream Corp",16.67,-0.15,-0.89%,16.82,16.985,16.61,3692300,2025-02-14
AMAT,"Applied Materials",169.2,-15.07,-8.18%,174.84,176,168.61,12452800,2025-02-14
AMCR,"Amcor Plc",10.07,-0.03,-0.30%,10.15,10.19,10.04,10333400,2025-02-14
AMD,"Adv Micro Devices",113.1,1.29,+1.15%,112.65,114.63,111.7,32477100,2025-02-14
AME,"Ametek Inc",183.54,-0.89,-0.48%,184.11,185,182.69,1041700,2025-02-14
AMED,"Amedisys Inc",92.6,-0.18,-0.19%,92.78,92.79,92.41,130600,2025-02-14
AMG,"Affiliated Managers Group",170.08,1.6,+0.95%,168.87,171.575,168.87,180100,2025-02-14
