,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
A,130.48602985200426,132.61631774902344,145.24767379760743,139.20462868430397,145.35653339732778,131.7394730417352,131.3737397627397,138.56380115855825,139.68353500366212,138.67281374724016,133.8610767364502,137.53927764892578
AA,29.748584474836075,26.96101369857788,30.077146816253663,35.770475907759234,39.798622304742985,39.9031404194079,36.82195906205611,31.72300434112549,33.223574542999266,40.364652716595195,44.2189998626709,40.32650012969971
AAL,13.977618989490328,14.92799997329712,14.642999982833862,13.898181698539041,13.926363511518998,11.355263007314582,10.779090881347656,9.988181894475764,11.00600004196167,12.393043435138205,14.113000059127808,16.763999891281127
AAON,71.26437087286087,80.19925384521484,83.23106384277344,88.27525919133967,77.60858431729403,77.62940416837993,87.32545991377397,89.55029504949397,97.40603256225586,110.44804846722147,130.6386344909668,128.59500007629396
AAP,62.10993648710705,63.2437126159668,77.95036849975585,75.53645359386097,71.38534736633301,63.350783699437194,59.973506754094906,55.79844908280806,40.153105926513675,37.82301745207413,39.66152000427246,43.98166828155517
AAPL,186.60393269856772,183.8356185913086,171.8848876953125,168.8074625188654,185.58477505770597,205.5722471538343,223.84630723433062,221.0731062455611,223.2666145324707,229.55087147588316,227.4989044189453,248.99423446655274
ABBV,157.03584362211683,168.71077041625978,172.9802444458008,162.76397705078125,156.73580169677734,164.21747629266036,169.6182965365323,189.5187565196644,191.23165969848634,190.3169641909392,179.84899215698243,174.56333847045897
ABNB,140.19237917945497,150.42975006103515,164.1055000305176,160.25590861927378,149.29636452414772,148.25052843595805,147.4413632479581,118.82590796730734,122.03650016784668,133.25130363132644,136.4464988708496,134.78275260925292
ABT,110.33465285528274,112.85755996704101,113.76359634399414,107.09199419888583,102.62446212768555,103.16186162045128,102.5061166936701,109.7878206426447,113.75462074279785,114.48396301269531,116.48024826049804,113.83562545776367
ACGL,74.81171489897228,80.9257438659668,85.72968330383301,87.58639977195047,94.67837316339666,95.55178833007812,92.57256559892134,97.9542191245339,106.88432350158692,103.65786212423573,96.51734428405761,93.83849906921387
ACHC,82.7585714431036,82.67849960327149,79.8395004272461,73.4950003190474,67.48090865395285,68.31368456388775,66.11409135298295,74.95681797374378,75.85300045013427,54.20695611704951,40.194000244140625,39.82499980926514
ACI,21.615682329450333,20.654718780517577,20.291800498962402,20.069545485756613,20.207418528470125,19.62606309589587,19.477815974842418,19.849818663163617,18.378067111968996,18.210749833480172,19.01916742324829,19.171503162384035
ACM,88.1494369506836,88.30464019775391,92.19784622192383,93.98596226085316,90.05462542447177,86.93670694451583,87.3188310102983,95.31120716441761,98.29241905212402,105.30610125997792,111.50792541503907,110.60463104248046
ACN,351.2667076474144,365.9006576538086,362.7200302124023,317.18062244762075,300.21918695623225,291.8433018734581,315.28720647638494,325.60692110928625,342.5855407714844,362.7125443168308,357.18600006103514,359.49399719238284
ADBE,597.8133312406994,585.5614990234375,534.9670013427734,479.80636180530894,478.9831820401278,495.40473215203536,556.1581892533736,546.7527188387784,541.8834991455078,494.86173546832543,506.82449798583986,486.25550079345703
ADC,58.611531212216335,54.81430358886719,54.36972007751465,54.76593711159446,57.68686780062589,59.51325466758326,63.81401772932573,70.6772741837935,73.98119010925294,73.75408836033033,75.1195671081543,72.30038528442383
ADI,188.7064688546317,187.37493896484375,191.99233856201172,192.2318253950639,213.1032291759144,230.48324584960938,230.06582364169034,217.6929896961559,223.4872184753418,227.72923345151156,216.88318252563477,215.7620056152344
ADM,61.59038743518648,52.09241905212402,56.96000442504883,60.262215874411844,59.717654488303445,59.88706669054533,62.18979384682395,58.457550048828125,59.59994773864746,56.80388143788213,52.78307266235352,51.528500175476076
ADP,231.64989289783296,245.94728393554686,241.1490608215332,240.97161102294922,242.6388834173029,241.96534568385073,241.79420401833275,262.8441030328924,274.0400924682617,286.6049579122792,300.2457763671875,297.23527374267576
ADSK,243.4009530203683,257.7565040588379,258.45400161743163,230.40363589200106,214.729999889027,229.4352617765728,246.3159089521928,246.23454492742366,263.7089988708496,281.98565275772756,304.6800018310547,301.6119979858398
ADT,6.25049334480649,6.534908890724182,6.566573548316955,6.229774821888316,6.88776193965565,7.290070860009444,7.447751066901467,7.161299098621715,7.083008623123169,7.085205990335216,7.513239955902099,7.161202621459961
AEE,68.9319574265253,67.44685134887695,70.29868850708007,71.36009563099255,71.88425341519442,69.81295455129523,73.25165245749734,80.33611817793413,84.00392303466796,86.92651599386464,90.45038261413575,90.0776969909668
AEP,76.47156016031902,76.88703422546386,80.43077239990234,80.96050574562766,87.53719919378108,85.75658858449836,89.57828903198242,96.37882267345081,100.70655326843261,97.58821238642153,95.8049472808838,92.88661270141601
AES,16.85027989887056,15.504505729675293,15.315845394134522,16.55627202987671,19.597271832552824,18.77079933568051,16.983250444585625,16.724983778866854,17.874901390075685,17.21622761436131,13.518536472320557,12.88607029914856
AFG,111.0029805501302,115.71926689147949,124.4901138305664,123.36575768210672,124.12449923428622,120.50819035580284,120.35382843017578,123.51830673217773,129.6412780761719,129.12054675558338,137.1987491607666,138.60041275024415
AFL,81.82274337041946,77.32515487670898,82.23828887939453,81.87451900135387,85.36382952603427,87.88954202752365,91.63142776489258,103.04212084683505,108.7908103942871,111.73370494013247,109.90273590087891,104.46999969482422
AFRM,42.53595225016276,40.47150001525879,36.59899959564209,32.68749991330233,32.08681808818471,31.3478946685791,29.127272519198332,29.224772626703437,41.98649978637695,42.92608708920686,57.63174991607666,67.83099937438965
AGCO,115.97105262393043,109.29213676452636,111.54349174499512,115.43900888616389,108.82967168634588,101.06730250308388,97.41330580277877,88.08297313343395,91.81209030151368,98.40012392790422,94.69352874755859,95.92707862854004
AGNC,8.32579194931757,8.169506716728211,8.486975049972534,8.297714190049605,8.630230383439498,8.823860369230571,9.229582743211227,9.391160401430996,9.761080646514893,9.654338131780209,9.24081106185913,9.26512885093689
AGO,77.33532351539249,83.4061725616455,89.7289909362793,79.50951142744584,76.96490027687766,76.46160286351254,79.87642288208008,76.82851305874911,79.38250007629395,83.65521704632303,89.79949951171875,89.57849960327148
AIG,67.0775873093378,68.55508689880371,74.33804969787597,74.05081211436878,77.4965556751598,74.09544573332134,75.68045668168502,72.68132781982422,72.91791648864746,75.84398584780486,75.53607559204102,73.10107536315918
AIZ,164.56864493233817,171.74685974121093,177.9960578918457,173.98490836403587,171.36038624156606,167.24151370399878,166.95570373535156,182.03209339488637,193.5739547729492,192.71434220023778,213.01255416870117,216.21711807250978
AJG,230.0934026808966,237.22877502441406,248.53035507202148,236.63393818248403,247.66676261208275,257.05146066766036,269.8881378173828,284.93495039506394,289.0489669799805,287.10057134213656,296.0257629394531,289.48258514404296
AKAM,119.48476191929409,116.62500076293945,109.41299972534179,103.6127270785245,96.04590884121981,89.42631530761719,94.80863709883256,98.89727263017134,98.81950035095215,102.84608724842901,93.33050003051758,97.48150024414062
AL,40.16469192504883,40.61300277709961,45.39291496276856,49.297228899869054,48.34036619013006,46.07744578311318,47.73722613941539,43.9206262068315,43.93262405395508,43.8763255243716,48.251512336730954,49.33435401916504
ALAB,,,74.09571402413505,72.80136281793767,72.15545446222478,62.12368332712274,53.34931807084517,41.61613637750799,45.724999809265135,63.67695700603983,94.12150001525879,126.34650001525878
ALB,124.63962954566593,117.02996025085449,122.10435981750489,119.58048456365412,126.38232733986594,104.86153211091694,94.05974474820223,83.4288347417658,86.6790786743164,96.91332742442255,104.23422927856446,97.67230606079102
ALGM,27.277380897885276,30.65649995803833,28.832499980926514,27.323636401783336,29.453636516224254,28.649473692241468,28.741818341341887,23.754545385187324,22.686000061035156,21.330869591754414,20.813499927520752,21.730000019073486
ALGN,267.10714140392486,299.18899993896486,315.1780029296875,310.7209098122337,270.7086341164329,249.88000006424753,242.2163640802557,225.48136346990412,240.5870002746582,222.76217385996944,223.25349960327148,224.98850021362304
ALK,36.296190534319194,37.361999893188475,38.61349964141846,43.05363603071733,42.95772708546031,41.10263161910208,38.59772716869008,34.95227258855646,40.50949993133545,45.01695666105851,51.792999839782716,61.434499740600586
ALL,149.41563415527344,156.17039489746094,159.43830184936525,167.72516632080078,165.6078678477894,159.90400374563117,165.19415075128728,176.63457974520597,187.96422729492187,188.802874357804,196.17679977416992,196.43549880981445
ALLE,121.64696793329148,128.17290916442872,130.61314811706544,127.0099764737216,122.64368577436967,116.7315858539782,124.41499224576083,132.07931171764028,140.1679931640625,146.52521813434103,140.95749893188477,136.69250106811523
ALLY,33.828864415486656,35.17641181945801,37.08038063049317,37.3592832738703,38.43247136202726,38.39498800980417,41.374940005215734,40.93202382867987,35.101344680786134,34.5097190193508,36.74322109222412,36.783912086486815
ALNY,188.08380853562127,161.88899841308594,149.41100006103517,148.56727253306997,150.0649982799183,177.69526110197367,244.86227278275922,271.09954833984375,265.58599853515625,282.7143448539402,257.84050369262695,246.85399932861327
ALSN,57.221275329589844,67.11445617675781,76.26568374633788,79.33810736916281,74.74073028564453,73.97302125629626,80.58185022527522,86.38805077292703,89.71341590881347,99.47925600798234,116.4278736114502,112.78499984741211
AM,11.428616387503487,11.723201751708984,12.847988700866699,13.27576663277366,13.829229788346725,13.945992369400827,14.103989297693426,13.8965163230896,14.306260442733764,14.876704672108525,15.128096294403075,14.86391019821167
AMAT,157.9655500139509,185.01182250976564,204.81389923095702,201.7526765303178,210.85655143044212,230.30703655042146,226.93403209339488,195.7844370061701,189.04792175292968,192.45480081309444,179.35601882934571,170.31550140380858
AMCR,9.12527574811663,8.71312747001648,9.005008840560913,8.74139456315474,9.785246979106557,9.755385649831672,9.761296662417324,10.53016133741899,10.961247301101684,11.0076788612034,10.197150421142577,9.861499929428101
AMD,158.70999872116815,174.36199874877929,192.16499862670898,162.84409124200994,158.78863594748756,161.01000012849508,160.94272821599787,143.6790910200639,151.12100143432616,160.16565273119056,140.75750198364258,129.45199966430664
AME,161.86322748093377,171.2701072692871,181.050301361084,178.2654703313654,168.5126100019975,168.66707811857523,169.0770624334162,162.28780642422763,168.14172897338867,169.0408358366593,191.48267364501953,187.3797836303711
AMED,94.51142810639881,93.7854995727539,92.79300003051758,91.79818170720881,94.59590877186169,91.84473619962993,97.6595458984375,97.9104548367587,97.10250129699708,96.38782600734545,92.37250022888183,86.11249961853028
AMG,149.78060477120536,155.47466735839845,161.3176300048828,162.51046267422763,158.72706604003906,155.88822133917557,167.85006575150922,169.45356889204547,172.45476837158202,188.32079082986584,185.82755355834962,185.50599975585936
AMGN,295.57825724283856,283.8114700317383,268.3149017333984,262.45586187189275,297.3807345303622,300.40686356393917,318.97873618386006,320.22683022238994,323.33570556640626,314.54311603048575,295.9495101928711,266.9671691894531
